,Bundesland,"2021
Allgemeine Deckungsmittel (Euro je Einwohner:in)",GKZ,ARS,"2021
Anteil ab 65-Jährige (%)",Kommune,"2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)","2021
Haushalte mit niedrigem Einkommen (%)","2021
Allgemeine Deckungsmittel (Euro je Einwohner:in)_normalized","2021
Anteil ab 65-Jährige (%)_normalized","2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)_normalized","2021
Haushalte mit niedrigem Einkommen (%)_normalized",socio_economic_index
0,Rheinland-Pfalz,1.597,7131000,71310000000,25.1,"Ahrweiler, LK",1.743,38.7,0.36670493685419053,0.7917981072555205,0.0017659574468085108,0.7140221402214022,1.1408812680695406
1,Bayern,1.798,9771000,97710000000,20.4,"Aichach-Friedberg, LK",621.0,28.1,0.4128587830080367,0.643533123028391,0.6291793313069909,0.518450184501845,1.3783038558291905
2,Baden-Württemberg,1.946,8425000,84250000000,19.9,"Alb-Donau-Kreis, LK",425.0,31.8,0.4468427095292766,0.6277602523659305,0.43059777102330293,0.5867158671586715,1.1982311810186284
3,Thüringen,1.758,16077000,160770000000,31.700000000000003,"Altenburger Land, LK",577.0,53.6,0.4036739380022962,1.0,0.5845997973657548,0.9889298892988929,2.1698557486623513
4,Rheinland-Pfalz,1.657,7132000,71320000000,23.0,"Altenkirchen (Westerwald), LK",2.463,41.8,0.38048220436280134,0.725552050473186,0.0024954407294832826,0.7712177121771217,1.1187829990169897
5,Sachsen-Anhalt,1.472,15081000,150810000000,25.9,"Altmarkkreis Salzwedel, LK",620.0,51.8,0.3380022962112514,0.8170347003154573,0.6281661600810537,0.9557195571955719,2.0629181213808314
6,Bayern,2.28,9171000,91710000000,22.2,"Altötting, LK",1.189,36.7,0.52353616532721,0.7003154574132491,0.001204660587639311,0.6771217712177122,0.8551057238913905
7,Rheinland-Pfalz,1.603,7331000,73310000000,21.299999999999997,"Alzey-Worms, LK",2.321,35.7,0.3680826636050516,0.67192429022082,0.002351570415400203,0.6586715867158672,0.9648647837470359
8,Bayern,1.791,9371000,93710000000,22.0,"Amberg-Sulzbach, LK",1.581,40.8,0.4112514351320321,0.6940063091482649,0.001601823708206687,0.7527675276752767,1.0371242253997162
9,Niedersachsen,1.691,3451000,34510000000,23.8,"Ammerland, LK",434.0,44.3,0.3882893226176808,0.750788643533123,0.4397163120567376,0.8173431734317342,1.619558806403914
10,Sachsen-Anhalt,1.571,15082000,150820000000,29.1,"Anhalt-Bitterfeld, LK",847.0,52.4,0.3607347876004592,0.917981072555205,0.8581560283687943,0.9667896678966789,2.3821919812202186
11,Bayern,1.823,9571000,95710000000,20.8,"Ansbach, LK",924.0,39.7,0.4185993111366245,0.6561514195583595,0.9361702127659575,0.7324723247232472,1.90619464591094
12,Bayern,1.808,9671000,96710000000,22.5,"Aschaffenburg, LK",730.0,34.1,0.41515499425947183,0.7097791798107255,0.7396149949341438,0.6291512915129152,1.6633904719983126
13,Bayern,1.903,9772000,97720000000,21.0,"Augsburg, LK",888.0,29.7,0.4369690011481056,0.6624605678233438,0.8996960486322189,0.547970479704797,1.673158095012254
14,Niedersachsen,1.796,3452000,34520000000,24.1,"Aurich, LK",2.263,47.3,0.4123995407577497,0.7602523659305993,0.0022928064842958457,0.8726937269372693,1.2228393585944146
15,Rheinland-Pfalz,1.646,7332000,73320000000,25.0,"Bad Dürkheim, LK",2.749,33.2,0.3779563719862227,0.7886435331230284,0.0027852077001013172,0.6125461254612546,1.0260184942981618
16,Bayern,1.79,9672000,96720000000,25.5,"Bad Kissingen, LK",803.0,41.2,0.4110218140068886,0.8044164037854888,0.8135764944275583,0.7601476014760148,1.9671186856821732
17,Rheinland-Pfalz,1.667,7133000,71330000000,24.1,"Bad Kreuznach, LK",2.083,39.9,0.3827784156142365,0.7602523659305993,0.002110435663627153,0.7361623616236161,1.1157467476036063
18,Bayern,1.821,9173000,91730000000,21.9,"Bad Tölz-Wolfratshausen, LK",605.0,31.7,0.4181400688863375,0.6908517350157728,0.6129685916919959,0.584870848708487,1.4705511065299184
19,Bayern,1.821,9471000,94710000000,20.2,"Bamberg, LK",631.0,38.5,0.4181400688863375,0.6372239747634069,0.6393110435663627,0.7103321033210331,1.5687270527644652
20,Brandenburg,1.757,12060000,120600000000,24.5,"Barnim, LK",194.0,46.1,0.40344431687715265,0.7728706624605678,0.19655521783181357,0.8505535055350554,1.416535068950284
21,Sachsen,1.609,14625000,146250000000,28.400000000000002,"Bautzen, LK",410.0,50.7,0.3694603903559127,0.8958990536277602,0.4154002026342452,0.9354243542435424,1.8772632201496355
22,Bayern,1.695,9472000,94720000000,23.3,"Bayreuth, LK",1.487,42.4,0.38920780711825487,0.7350157728706624,0.0015065856129685919,0.7822878228782287,1.1296023742436048
23,Bayern,1.821,9172000,91720000000,23.799999999999997,"Berchtesgadener Land, LK",780.0,43.0,0.4181400688863375,0.7507886435331229,0.790273556231003,0.7933579335793357,1.9162800644571243
24,Hessen,2.028,6431000,64310000000,23.0,"Bergstraße, LK",1.373,38.2,0.46567164179104475,0.725552050473186,0.0013910840932117529,0.7047970479704797,0.9660685407458327
25,Rheinland-Pfalz,1.733,7231000,72310000000,23.8,"Bernkastel-Wittlich, LK",2.499,42.2,0.39793340987370834,0.750788643533123,0.0025319148936170212,0.7785977859778598,1.1339849345308914
26,Baden-Württemberg,1.779,8426000,84260000000,19.4,"Biberach, LK",224.0,33.7,0.4084959816303099,0.6119873817034699,0.22695035460992907,0.6217712177121771,1.0522129723952662
27,Rheinland-Pfalz,4.355,7134000,71340000000,24.9,"Birkenfeld, LK",3.232,44.4,1.0,0.7854889589905362,0.003274569402228977,0.8191881918819187,0.6079517202746838
28,Baden-Württemberg,2.071,8115000,81150000000,20.6,"Böblingen, LK",452.0,28.9,0.47554535017221583,0.6498422712933754,0.4579533941236069,0.533210332103321,1.1654606473480875
29,Baden-Württemberg,2.05,8435000,84350000000,23.3,"Bodenseekreis, LK",474.0,33.9,0.47072330654420197,0.7350157728706624,0.48024316109422494,0.6254612546125461,1.3699968820332313
30,Sachsen-Anhalt,1.557,15083000,150830000000,25.200000000000003,"Börde, LK",949.0,51.7,0.35752009184845,0.7949526813880127,0.961499493414387,0.9538745387453874,2.3528066216993375
31,Nordrhein-Westfalen,1.917,5554000,55540000000,19.8,"Borken, LK",1.037,38.7,0.4401836969001148,0.6246056782334385,0.0010506585612968591,0.7140221402214022,0.8994947801160227
32,Baden-Württemberg,1.955,8315000,83150000000,22.8,"Breisgau-Hochschwarzwald, LK",815.0,37.3,0.4489092996555683,0.7192429022082019,0.8257345491388045,0.6881918819188191,1.784260033610257
33,Sachsen-Anhalt,1.5,15084000,150840000000,28.900000000000002,"Burgenlandkreis, LK",1.003,53.8,0.3444316877152698,0.9116719242902208,0.001016210739614995,0.9926199261992619,1.5608763735138278
34,Baden-Württemberg,1.872,8235000,82350000000,21.5,"Calw, LK",1.37,35.5,0.4298507462686567,0.6782334384858043,0.0013880445795339414,0.6549815498154982,0.9047522866121798
35,Niedersachsen,1.962,3351000,33510000000,23.900000000000002,"Celle, LK",2.617,45.1,0.45051664753157283,0.7539432176656151,0.0026514690982776088,0.8321033210332103,1.1381813602655302
36,Bayern,1.854,9372000,93720000000,22.3,"Cham, LK",743.0,45.7,0.42571756601607347,0.7034700315457413,0.7527862208713273,0.8431734317343174,1.8737121181353127
37,Niedersachsen,1.682,3453000,34530000000,17.0,"Cloppenburg, LK",757.0,43.0,0.38622273249138916,0.5362776025236593,0.7669706180344478,0.7933579335793357,1.7103834216460536
38,Bayern,1.788,9473000,94730000000,24.0,"Coburg, LK",886.0,38.8,0.4105625717566016,0.7570977917981072,0.8976697061803445,0.7158671586715867,1.9600720848934365
39,Rheinland-Pfalz,1.656,7135000,71350000000,25.4,"Cochem-Zell, LK",1.73,40.6,0.3802525832376578,0.8012618296529967,0.0017527862208713272,0.7490774907749077,1.1718395234111179
40,Nordrhein-Westfalen,1.796,5558000,55580000000,22.0,"Coesfeld, LK",609.0,37.1,0.4123995407577497,0.6940063091482649,0.6170212765957447,0.6845018450184501,1.5831298900047102
41,Niedersachsen,1.901,3352000,33520000000,26.1,"Cuxhaven, LK",1.614,43.0,0.43650975889781857,0.8233438485804416,0.001635258358662614,0.7933579335793357,1.1818272816206212
42,Bayern,1.873,9174000,91740000000,19.1,"Dachau, LK",861.0,27.5,0.4300803673938002,0.6025236593059937,0.8723404255319149,0.507380073800738,1.5521637912448467
43,Brandenburg,2.261,12061000,120610000000,24.4,"Dahme-Spreewald, LK",292.0,45.6,0.5191733639494833,0.7697160883280756,0.29584599797365757,0.8413284132841328,1.3877171356363827
44,Hessen,1.925,6432000,64320000000,21.6,"Darmstadt-Dieburg, LK",1.513,35.1,0.4420206659012629,0.6813880126182965,0.0015329280648429583,0.6476014760147601,0.8885017507966368
45,Bayern,1.856,9271000,92710000000,21.1,"Deggendorf, LK",1.028,42.3,0.4261768082663605,0.6656151419558359,0.0010415400202634245,0.7804428044280441,1.020922678137783
46,Niedersachsen,1.778,3251000,32510000000,23.0,"Diepholz, LK",537.0,38.7,0.40826636050516646,0.725552050473186,0.5440729483282675,0.7140221402214022,1.5753807785176894
47,Bayern,1.839,9773000,97730000000,20.9,"Dillingen an der Donau, LK",976.0,36.9,0.4222732491389207,0.6593059936908516,0.9888551165146909,0.6808118081180812,1.906699669184703
48,Bayern,2.489,9279000,92790000000,19.7,"Dingolfing-Landau, LK",600.0,37.4,0.5715269804822043,0.6214511041009463,0.60790273556231,0.6900369003690037,1.3478637595500556
49,Schleswig-Holstein,1.932,1051000,10510000000,25.5,"Dithmarschen, LK",1.595,46.1,0.44362801377726746,0.8044164037854888,0.0016160081053698074,0.8505535055350554,1.2129579036486464
50,Bayern,2.026,9779000,97790000000,20.7,"Donau-Ries, LK",585.0,37.0,0.46521239954075766,0.6529968454258674,0.5927051671732523,0.6826568265682657,1.4631464396266276
51,Rheinland-Pfalz,1.642,7333000,73330000000,23.0,"Donnersbergkreis, LK",3.863,39.6,0.37703788748564865,0.725552050473186,0.00391388044579534,0.7306273062730627,1.0830553497063955
52,Nordrhein-Westfalen,1.949,5358000,53580000000,22.0,"Düren, LK",2.26,41.9,0.4475315729047072,0.6940063091482649,0.0022897669706180342,0.7730627306273062,1.0218272338414822
53,Bayern,1.918,9175000,91750000000,19.0,"Ebersberg, LK",1.375,20.6,0.44041331802525824,0.5993690851735015,0.001393110435663627,0.3800738007380074,0.5404226783219144
54,Thüringen,1.709,16061000,160610000000,25.3,"Eichsfeld, LK",764.0,50.0,0.39242250287026403,0.7981072555205047,0.7740628166160081,0.9225092250922509,2.1022567943584995
55,Bayern,1.784,9176000,91760000000,18.4,"Eichstätt, LK",400.0,29.8,0.4096440872560275,0.5804416403785488,0.40526849037487334,0.5498154981549815,1.125881541652376
56,Rheinland-Pfalz,1.746,7232000,72320000000,21.4,"Eifelkreis Bitburg-Prüm, LK",2.573,44.4,0.400918484500574,0.6750788643533122,0.0026068895643363726,0.8191881918819187,1.0959554612989932
57,Brandenburg,1.818,12062000,120620000000,29.4,"Elbe-Elster, LK",418.0,48.5,0.417451205510907,0.9274447949526813,0.42350557244174264,0.8948339483394834,1.828333110223
58,Baden-Württemberg,1.932,8316000,83160000000,21.9,"Emmendingen, LK",508.0,36.8,0.44362801377726746,0.6908517350157728,0.5146909827760892,0.6789667896678966,1.4408814936824912
59,Niedersachsen,1.823,3454000,34540000000,19.9,"Emsland, LK",589.0,41.9,0.4185993111366245,0.6277602523659305,0.596757852077001,0.7730627306273062,1.5789815239336136
60,Nordrhein-Westfalen,2.075,5954000,59540000000,24.299999999999997,"Ennepe-Ruhr-Kreis, LK",2.936,41.0,0.4764638346727899,0.7665615141955835,0.0029746707193515705,0.7564575645756457,1.049529914817791
61,Baden-Württemberg,1.787,8236000,82360000000,21.8,"Enzkreis, LK",357.0,29.2,0.410332950631458,0.6876971608832807,0.3617021276595745,0.5387453874538745,1.1778117253652716
62,Bayern,1.886,9177000,91770000000,17.6,"Erding, LK",896.0,29.5,0.4330654420206658,0.555205047318612,0.9078014184397163,0.544280442804428,1.5742214665420904
63,Bayern,2.241,9572000,95720000000,21.200000000000003,"Erlangen-Höchstadt, LK",672.0,30.6,0.514580941446613,0.6687697160883281,0.6808510638297872,0.5645756457564576,1.3996154842279598
64,Sachsen,1.511,14521000,145210000000,30.799999999999997,"Erzgebirgskreis, LK",467.0,52.1,0.3469575200918484,0.9716088328075708,0.47315096251266464,0.9612546125461254,2.0590568877745126
65,Baden-Württemberg,1.995,8116000,81160000000,20.9,"Esslingen, LK",565.0,28.8,0.4580941446613088,0.6593059936908516,0.5724417426545086,0.5313653136531366,1.305018905337188
66,Nordrhein-Westfalen,1.788,5366000,53660000000,22.4,"Euskirchen, LK",1.487,40.6,0.4105625717566016,0.7066246056782334,0.0015065856129685919,0.7490774907749077,1.0466461103095082
67,Bayern,2.125,9474000,94740000000,21.4,"Forchheim, LK",688.0,35.9,0.4879448909299655,0.6750788643533122,0.6970618034447822,0.6623616236162361,1.5465574004843652
68,Bayern,2.079,9178000,91780000000,16.4,"Freising, LK",590.0,30.5,0.47738231917336393,0.5173501577287065,0.5977710233029382,0.562730627306273,1.2004694891645535
69,Baden-Württemberg,2.054,8237000,82370000000,21.4,"Freudenstadt, LK",576.0,35.6,0.47164179104477605,0.6750788643533122,0.5835866261398176,0.6568265682656826,1.4438502677140364
70,Bayern,1.791,9272000,92720000000,23.0,"Freyung-Grafenau, LK",1.458,45.3,0.4112514351320321,0.725552050473186,0.0014772036474164133,0.8357933579335792,1.1515711769221495
71,Niedersachsen,1.683,3455000,34550000000,26.799999999999997,"Friesland, LK",1.051,45.9,0.3864523536165327,0.8454258675078863,0.0010648429584599797,0.8468634686346863,1.3069018254844997
72,Hessen,2.039,6631000,66310000000,21.8,"Fulda, LK",1.093,42.3,0.4681974741676234,0.6876971608832807,0.0011073961499493414,0.7804428044280441,1.0010498872936509
73,Bayern,1.979,9179000,91790000000,22.0,"Fürstenfeldbruck, LK",935.0,24.8,0.4544202066590126,0.6940063091482649,0.9473150962512664,0.4575645756457564,1.6444657743862752
74,Bayern,1.713,9573000,95730000000,23.299999999999997,"Fürth, LK",1.173,32.0,0.3933409873708381,0.7350157728706623,0.0011884498480243162,0.5904059040590406,0.9332691394068892
75,Bayern,1.942,9180000,91800000000,25.3,"Garmisch-Partenkirchen, LK",1.009,40.1,0.4459242250287026,0.7981072555205047,0.0010222897669706179,0.7398523985239852,1.0930577187827581
76,Rheinland-Pfalz,1.581,7334000,73340000000,20.9,"Germersheim, LK",2.615,34.7,0.3630309988518943,0.6593059936908516,0.0026494427558257346,0.6402214022140221,0.9391458398088051
77,Hessen,2.129,6531000,65310000000,19.9,"Gießen, LK",1.562,46.7,0.48886337543053954,0.6277602523659305,0.0015825734549138805,0.8616236162361623,1.0021030666264672
78,Niedersachsen,1.649,3151000,31510000000,20.9,"Gifhorn, LK",1.006,39.5,0.37864523536165323,0.6593059936908516,0.0010192502532928064,0.7287822878228782,1.0104622964053696
79,Baden-Württemberg,1.902,8117000,81170000000,22.1,"Göppingen, LK",478.0,33.7,0.43673938002296203,0.6971608832807571,0.48429584599797365,0.6217712177121771,1.3664885669679459
80,Sachsen,1.985,14626000,146260000000,30.700000000000003,"Görlitz, LK",699.0,51.7,0.4557979334098737,0.9684542586750788,0.7082066869300911,0.9538745387453874,2.1747375509406837
81,Niedersachsen,1.969,3153000,31530000000,27.900000000000002,"Goslar, LK",1.06,47.1,0.4521239954075775,0.8801261829652997,0.0010739614994934145,0.8690036900369004,1.298079839094116
82,Thüringen,1.816,16067000,160670000000,26.2,"Gotha, LK",561.0,51.4,0.41699196326061994,0.8264984227129336,0.5683890577507599,0.9483394833948339,1.9262350005979072
83,Niedersachsen,1.982,3159000,31590000000,23.4,"Göttingen, LK",1.545,47.4,0.4551090700344431,0.7381703470031544,0.0015653495440729483,0.8745387453874538,1.1591653719002382
84,Niedersachsen,1.74,3456000,34560000000,21.3,Grafschaft Bentheim,914.0,42.9,0.3995407577497129,0.6719242902208201,0.9260385005065856,0.7915129151291512,1.9899349481068442
85,Thüringen,1.744,16076000,160760000000,30.8,"Greiz, LK",556.0,51.9,0.400459242250287,0.9716088328075709,0.563323201621074,0.9575645756457564,2.092037367824114
86,Hessen,2.065,6433000,64330000000,19.700000000000003,"Groß-Gerau, LK",2.329,38.0,0.4741676234213547,0.6214511041009464,0.0023596757852077004,0.7011070110701106,0.8507501675349101
87,Bayern,1.899,9774000,97740000000,20.0,"Günzburg, LK",438.0,37.6,0.4360505166475315,0.6309148264984227,0.44376899696048633,0.6937269372693727,1.3323602440807503
88,Nordrhein-Westfalen,2.094,5754000,57540000000,20.3,"Gütersloh, LK",555.0,35.4,0.48082663605051656,0.6403785488958991,0.5623100303951368,0.6531365313653136,1.3749984746058326
89,Niedersachsen,2.014,3252000,32520000000,25.700000000000003,"Hameln-Pyrmont, LK",2.329,45.6,0.4624569460390355,0.8107255520504733,0.0023596757852077004,0.8413284132841328,1.1919566950807783
90,Niedersachsen,1.823,3353000,33530000000,22.5,"Harburg, LK",757.0,36.1,0.4185993111366245,0.7097791798107255,0.7669706180344478,0.6660516605166051,1.7242021472251539
91,Sachsen-Anhalt,1.525,15085000,150850000000,29.6,"Harz, LK",1.453,51.7,0.3501722158438576,0.9337539432176656,0.0014721377912867274,0.9538745387453874,1.538928403910482
92,Bayern,1.677,9674000,96740000000,22.2,"Haßberge, LK",834.0,40.3,0.3850746268656716,0.7003154574132491,0.8449848024316109,0.7435424354243542,1.9037680684035427
93,Brandenburg,1.766,12063000,120630000000,23.2,"Havelland, LK",343.0,45.7,0.4055109070034443,0.7318611987381702,0.3475177304964539,0.8431734317343174,1.517041453965497
94,Niedersachsen,1.841,3358000,33580000000,22.7,"Heidekreis, LK",1.871,45.0,0.42273249138920777,0.7160883280757097,0.0018956433637284701,0.8302583025830258,1.125509782633256
95,Baden-Württemberg,2.012,8135000,81350000000,22.3,"Heidenheim, LK",1.028,35.3,0.46199770378874855,0.7034700315457413,0.0010415400202634245,0.6512915129151291,0.8938053806923854
96,Baden-Württemberg,1.938,8125000,81250000000,19.9,"Heilbronn, LK",359.0,32.0,0.4450057405281285,0.6277602523659305,0.3637284701114488,0.5904059040590406,1.1368888860082913
